"indicator_name","table_name"
"Adolescent fertility rate (births per 1,000 women ages 15-19)","wdi_fertility_mortality"
"Age dependency ratio (% of working-age population)","wdi_population_dynamics"
"Age dependency ratio, old (% of working-age population)","wdi_population_dynamics"
"Age dependency ratio, young (% of working-age population)","wdi_population_dynamics"
"Agricultural land (% of land area)","wdi_agriculture_land"
"Agricultural land (sq. km)","wdi_agriculture_land"
"Aquaculture production (metric tons)","wdi_agriculture_production"
"Arable land (% of land area)","wdi_agriculture_land"
"Arable land (hectares per person)","wdi_agriculture_land"
"Arms imports (SIPRI trend indicator values)","wdi_public_finance_expenditure"
"Birth rate, crude (per 1,000 people)","wdi_fertility_mortality"
"Capture fisheries production (metric tons)","wdi_agriculture_production"
"Cereal production (metric tons)","wdi_agriculture_production"
"Cereal yield (kg per hectare)","wdi_agriculture_production"
"Charges for the use of intellectual property, payments (BoP, current US$)","wdi_balance_of_payments"
"Charges for the use of intellectual property, receipts (BoP, current US$)","wdi_balance_of_payments"
"Crop production index (2014-2016 = 100)","wdi_agriculture_production"
"Death rate, crude (per 1,000 people)","wdi_fertility_mortality"
"Fertility rate, total (births per woman)","wdi_fertility_mortality"
"Fertilizer consumption (% of fertilizer production)","wdi_agriculture_production"
"Fertilizer consumption (kilograms per hectare of arable land)","wdi_agriculture_production"
"Fixed telephone subscriptions","wdi_technology_ict_usage"
"Fixed telephone subscriptions (per 100 people)","wdi_technology_ict_usage"
"Food production index (2014-2016 = 100)","wdi_agriculture_production"
"GDP (constant 2015 US$)","wdi_gdp_national_accounts"
"GDP (current US$)","wdi_gdp_national_accounts"
"GDP growth (annual %)","wdi_economic_growth"
"GDP per capita (constant 2015 US$)","wdi_gdp_per_capita"
"GDP per capita (current US$)","wdi_gdp_per_capita"
"GDP per capita growth (annual %)","wdi_economic_growth"
"General government final consumption expenditure (% of GDP)","wdi_gdp_national_accounts"
"General government final consumption expenditure (current US$)","wdi_gdp_national_accounts"
"GNI (current US$)","wdi_gdp_national_accounts"
"GNI per capita, Atlas method (current US$)","wdi_gdp_per_capita"
"GNI, Atlas method (current US$)","wdi_gdp_national_accounts"
"Inflation, GDP deflator (annual %)","wdi_inflation_prices"
"Land area (sq. km)","wdi_agriculture_land"
"Land under cereal production (hectares)","wdi_agriculture_production"
"Life expectancy at birth, female (years)","wdi_fertility_mortality"
"Life expectancy at birth, male (years)","wdi_fertility_mortality"
"Life expectancy at birth, total (years)","wdi_fertility_mortality"
"Livestock production index (2014-2016 = 100)","wdi_agriculture_production"
"Merchandise exports (current US$)","wdi_trade_merchandise_exports"
"Merchandise exports by the reporting economy (current US$)","wdi_trade_merchandise_exports"
"Merchandise exports by the reporting economy, residual (% of total merchandise exports)","wdi_trade_merchandise_exports"
"Merchandise exports to economies in the Arab World (% of total merchandise exports)","wdi_trade_merchandise_exports"
"Merchandise exports to high-income economies (% of total merchandise exports)","wdi_trade_merchandise_exports"
"Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports)","wdi_trade_merchandise_exports"
"Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports)","wdi_trade_merchandise_exports"
"Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports)","wdi_trade_merchandise_exports"
"Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports)","wdi_trade_merchandise_exports"
"Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports)","wdi_trade_merchandise_exports"
"Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports)","wdi_trade_merchandise_exports"
"Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports)","wdi_trade_merchandise_exports"
"Merchandise exports to low- and middle-income economies within region (% of total merchandise exports)","wdi_trade_merchandise_exports"
"Merchandise imports (current US$)","wdi_trade_merchandise_imports"
"Merchandise imports by the reporting economy (current US$)","wdi_trade_merchandise_imports"
"Merchandise imports by the reporting economy, residual (% of total merchandise imports)","wdi_trade_merchandise_imports"
"Merchandise imports from economies in the Arab World (% of total merchandise imports)","wdi_trade_merchandise_imports"
"Merchandise imports from high-income economies (% of total merchandise imports)","wdi_trade_merchandise_imports"
"Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports)","wdi_trade_merchandise_imports"
"Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports)","wdi_trade_merchandise_imports"
"Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports)","wdi_trade_merchandise_imports"
"Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports)","wdi_trade_merchandise_imports"
"Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports)","wdi_trade_merchandise_imports"
