"indicator_name","column_name"
"Adolescent fertility rate (births per 1,000 women ages 15-19)","adolescent_fertility_rate_births_per_1000_women_ages_15_19"
"Age dependency ratio (% of working-age population)","age_dependency_ratio_pct_of_working_age_population"
"Age dependency ratio, old (% of working-age population)","age_dependency_ratio_old_pct_of_working_age_population"
"Age dependency ratio, young (% of working-age population)","age_dependency_ratio_young_pct_of_working_age_population"
"Agricultural land (% of land area)","agricultural_land_pct_of_land_area"
"Agricultural land (sq. km)","agricultural_land_sq_km"
"Aquaculture production (metric tons)","aquaculture_production_metric_tons"
"Arable land (% of land area)","arable_land_pct_of_land_area"
"Arable land (hectares per person)","arable_land_hectares_per_person"
"Arms imports (SIPRI trend indicator values)","arms_imports_sipri_trend_indicator_values"
"Birth rate, crude (per 1,000 people)","birth_rate_crude_per_1000_people"
"Capture fisheries production (metric tons)","capture_fisheries_production_metric_tons"
"Cereal production (metric tons)","cereal_production_metric_tons"
"Cereal yield (kg per hectare)","cereal_yield_kg_per_hectare"
"Charges for the use of intellectual property, payments (BoP, current US$)","charges_for_use_of_intellectual_property_payments_bop_current"
"Charges for the use of intellectual property, receipts (BoP, current US$)","charges_for_use_of_intellectual_property_receipts_bop_curren"
"Crop production index (2014-2016 = 100)","crop_production_index_2014_2016_100"
"Death rate, crude (per 1,000 people)","death_rate_crude_per_1000_people"
"Fertility rate, total (births per woman)","fertility_rate_total_births_per_woman"
"Fertilizer consumption (% of fertilizer production)","fertilizer_consumption_pct_of_fertilizer_production"
"Fertilizer consumption (kilograms per hectare of arable land)","fertilizer_consumption_kilograms_per_hectare_of_arable_land"
"Fixed telephone subscriptions","fixed_telephone_subscriptions"
"Fixed telephone subscriptions (per 100 people)","fixed_telephone_subscriptions_per_100_people"
"Food production index (2014-2016 = 100)","food_production_index_2014_2016_100"
"GDP (constant 2015 US$)","gdp_constant_2015_us"
"GDP (current US$)","gdp_current_us"
"GDP growth (annual %)","gdp_growth_annual_pct"
"GDP per capita (constant 2015 US$)","gdp_per_capita_constant_2015_us"
"GDP per capita (current US$)","gdp_per_capita_current_us"
"GDP per capita growth (annual %)","gdp_per_capita_growth_annual_pct"
"General government final consumption expenditure (% of GDP)","general_government_final_consumption_expenditure_pct_of_gdp"
"General government final consumption expenditure (current US$)","general_government_final_consumption_expenditure_current_us"
"GNI (current US$)","gni_current_us"
"GNI per capita, Atlas method (current US$)","gni_per_capita_atlas_method_current_us"
"GNI, Atlas method (current US$)","gni_atlas_method_current_us"
"Inflation, GDP deflator (annual %)","inflation_gdp_deflator_annual_pct"
"Land area (sq. km)","land_area_sq_km"
"Land under cereal production (hectares)","land_under_cereal_production_hectares"
"Life expectancy at birth, female (years)","life_expectancy_at_birth_female_years"
"Life expectancy at birth, male (years)","life_expectancy_at_birth_male_years"
"Life expectancy at birth, total (years)","life_expectancy_at_birth_total_years"
"Livestock production index (2014-2016 = 100)","livestock_production_index_2014_2016_100"
"Merchandise exports (current US$)","merchandise_exports_current_us"
"Merchandise exports by the reporting economy (current US$)","merchandise_exports_by_the_reporting_economy_current_us"
"Merchandise exports by the reporting economy, residual (% of total merchandise exports)","merchandise_exports_by_reporting_economy_residual_pct_of_total"
"Merchandise exports to economies in the Arab World (% of total merchandise exports)","merchandise_exports_to_economies_in_arab_world_pct_of_total"
"Merchandise exports to high-income economies (% of total merchandise exports)","merchandise_exports_to_high_income_economies_pct_of_total"
"Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports)","merchandise_exports_to_low_middle_income_economies_east_asia"
"Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports)","merchandise_exports_to_low_middle_income_economies_europe_cent"
"Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports)","merchandise_exports_to_low_middle_income_economies_latin_ameri"
"Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports)","merchandise_exports_to_low_middle_income_economies_middle_east"
"Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports)","merchandise_exports_to_low_middle_income_economies_south_asia"
"Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports)","merchandise_exports_to_low_middle_income_economies_sub_saharan"
"Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports)","merchandise_exports_to_low_middle_income_economies_outside_reg"
"Merchandise exports to low- and middle-income economies within region (% of total merchandise exports)","merchandise_exports_to_low_middle_income_economies_within_regi"
"Merchandise imports (current US$)","merchandise_imports_current_us"
"Merchandise imports by the reporting economy (current US$)","merchandise_imports_by_the_reporting_economy_current_us"
"Merchandise imports by the reporting economy, residual (% of total merchandise imports)","merchandise_imports_by_reporting_economy_residual_pct_of_total"
"Merchandise imports from economies in the Arab World (% of total merchandise imports)","merchandise_imports_from_economies_in_arab_world_pct_of_total"
"Merchandise imports from high-income economies (% of total merchandise imports)","merchandise_imports_from_high_income_economies_pct_of_total"
"Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports)","merchandise_imports_from_low_middle_income_economies_east_asia"
